Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Macritchie Reservoir,2014,9,1,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2014,9,2,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2014,9,3,58,27.8,48.4,57.8,—,—,—,—,—
Macritchie Reservoir,2014,9,4,0.2,0.2,0.2,0.2,—,—,—,—,—
Macritchie Reservoir,2014,9,5,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2014,9,6,0.2,0.2,0.2,0.2,—,—,—,—,—
Macritchie Reservoir,2014,9,7,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2014,9,8,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2014,9,9,1,1,1,1,—,—,—,—,—
Macritchie Reservoir,2014,9,10,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2014,9,11,12.2,10,11,11.8,—,—,—,—,—
Macritchie Reservoir,2014,9,12,0.2,0.2,0.2,0.2,—,—,—,—,—
Macritchie Reservoir,2014,9,13,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2014,9,14,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2014,9,15,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2014,9,16,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2014,9,17,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2014,9,18,0.2,0.2,0.2,0.2,—,—,—,—,—
Macritchie Reservoir,2014,9,19,0.2,0.2,0.2,0.2,—,—,—,—,—
Macritchie Reservoir,2014,9,20,15.8,13.8,15,15.6,—,—,—,—,—
Macritchie Reservoir,2014,9,21,4.2,1.4,2.6,3.8,—,—,—,—,—
Macritchie Reservoir,2014,9,22,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2014,9,23,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2014,9,24,2.2,1.6,2.2,2.2,—,—,—,—,—
Macritchie Reservoir,2014,9,25,19.6,11.8,14,14,—,—,—,—,—
Macritchie Reservoir,2014,9,26,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2014,9,27,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2014,9,28,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2014,9,29,0,0,0,0,—,—,—,—,—
Macritchie Reservoir,2014,9,30,0,0,0,0,—,—,—,—,—
