Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Kampong Bahru,2014,9,1,0,0,0,0,—,—,—,—,—
Kampong Bahru,2014,9,2,0,0,0,0,—,—,—,—,—
Kampong Bahru,2014,9,3,70.6,47.2,66.4,70.4,—,—,—,—,—
Kampong Bahru,2014,9,4,0,0,0,0,—,—,—,—,—
Kampong Bahru,2014,9,5,3.4,3.4,3.4,3.4,—,—,—,—,—
Kampong Bahru,2014,9,6,0,0,0,0,—,—,—,—,—
Kampong Bahru,2014,9,7,0,0,0,0,—,—,—,—,—
Kampong Bahru,2014,9,8,0,0,0,0,—,—,—,—,—
Kampong Bahru,2014,9,9,0,0,0,0,—,—,—,—,—
Kampong Bahru,2014,9,10,0,0,0,0,—,—,—,—,—
Kampong Bahru,2014,9,11,26.4,16.2,17.4,21.6,—,—,—,—,—
Kampong Bahru,2014,9,12,0,0,0,0,—,—,—,—,—
Kampong Bahru,2014,9,13,0,0,0,0,—,—,—,—,—
Kampong Bahru,2014,9,14,0,0,0,0,—,—,—,—,—
Kampong Bahru,2014,9,15,0,0,0,0,—,—,—,—,—
Kampong Bahru,2014,9,16,0,0,0,0,—,—,—,—,—
Kampong Bahru,2014,9,17,0,0,0,0,—,—,—,—,—
Kampong Bahru,2014,9,18,0,0,0,0,—,—,—,—,—
Kampong Bahru,2014,9,19,0.2,0.2,0.2,0.2,—,—,—,—,—
Kampong Bahru,2014,9,20,28.8,12.2,13,13,—,—,—,—,—
Kampong Bahru,2014,9,21,3.8,1.6,2.8,3.6,—,—,—,—,—
Kampong Bahru,2014,9,22,0,0,0,0,—,—,—,—,—
Kampong Bahru,2014,9,23,0,0,0,0,—,—,—,—,—
Kampong Bahru,2014,9,24,8,6.6,6.8,7.4,—,—,—,—,—
Kampong Bahru,2014,9,25,11.4,2.6,4,6,—,—,—,—,—
Kampong Bahru,2014,9,26,0,0,0,0,—,—,—,—,—
Kampong Bahru,2014,9,27,0,0,0,0,—,—,—,—,—
Kampong Bahru,2014,9,28,0,0,0,0,—,—,—,—,—
Kampong Bahru,2014,9,29,0,0,0,0,—,—,—,—,—
Kampong Bahru,2014,9,30,0,0,0,0,—,—,—,—,—
