Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong (East),2014,9,1,0,0,0,0,—,—,—,—,—
Jurong (East),2014,9,2,0,0,0,0,—,—,—,—,—
Jurong (East),2014,9,3,43,27.8,41.2,43,—,—,—,—,—
Jurong (East),2014,9,4,0,0,0,0,—,—,—,—,—
Jurong (East),2014,9,5,0,0,0,0,—,—,—,—,—
Jurong (East),2014,9,6,2.4,2.4,2.4,2.4,—,—,—,—,—
Jurong (East),2014,9,7,0,0,0,0,—,—,—,—,—
Jurong (East),2014,9,8,0,0,0,0,—,—,—,—,—
Jurong (East),2014,9,9,0,0,0,0,—,—,—,—,—
Jurong (East),2014,9,10,0,0,0,0,—,—,—,—,—
Jurong (East),2014,9,11,5.6,2.8,3.4,3.4,—,—,—,—,—
Jurong (East),2014,9,12,0,0,0,0,—,—,—,—,—
Jurong (East),2014,9,13,0,0,0,0,—,—,—,—,—
Jurong (East),2014,9,14,0,0,0,0,—,—,—,—,—
Jurong (East),2014,9,15,0,0,0,0,—,—,—,—,—
Jurong (East),2014,9,16,0,0,0,0,—,—,—,—,—
Jurong (East),2014,9,17,0,0,0,0,—,—,—,—,—
Jurong (East),2014,9,18,0,0,0,0,—,—,—,—,—
Jurong (East),2014,9,19,2,1.8,1.8,1.8,—,—,—,—,—
Jurong (East),2014,9,20,4.4,3.2,4,4,—,—,—,—,—
Jurong (East),2014,9,21,4.4,1.2,2,3.6,—,—,—,—,—
Jurong (East),2014,9,22,0,0,0,0,—,—,—,—,—
Jurong (East),2014,9,23,0,0,0,0,—,—,—,—,—
Jurong (East),2014,9,24,11.6,7.2,7.4,10.2,—,—,—,—,—
Jurong (East),2014,9,25,23.8,12.8,18.8,19.2,—,—,—,—,—
Jurong (East),2014,9,26,—,—,—,—,—,—,—,—,—
Jurong (East),2014,9,27,—,—,—,—,—,—,—,—,—
Jurong (East),2014,9,28,—,—,—,—,—,—,—,—,—
Jurong (East),2014,9,29,—,—,—,—,—,—,—,—,—
Jurong (East),2014,9,30,—,—,—,—,—,—,—,—,—
